Name,City,State,Phone,Email
1 SOURCE MKTING.,FRESNO,CA.,21200XCCT,jimp@1sourcemarketing.com,559-448-8981,559-448-9179
2 GIRLS PRODUCE CO.,VINELAND,NJ.,21200HB0C,sharondbax@aol.com,856-692-6054,856-691-4274
20-20 PRODUCE SALES,PAUL,ID.,21200T0NR,colin@2020produce.com,208-438-8966,208-438-5116
4 J'S INTERNATIONAL,MIAMI,FL.,21200YS77,jose@4jsintl.com,305-477-6774,305-477-6774
A & A ORGANIC MARKET,WATSONVILLE,CA.,212007GC1,andy@aaorganic.com,831-768-0300,831-768-0302
A & A TRANSPORTATION,SAN ANTONIO,TX.,21200T2JQ,joe@aatrans.com,210-226-6446,210-226-0263
A & E SPECIALTY MKTING.,RIO,RICO,21200FJQM,emklahr@qwest.net,520-281-1369,520-377-0304
A & F DISTRIBUTING CROP.,LOS ANGELES,CA,N/A,"jramirez@afproduce,com",323-225-8321,323-225-3040
A & G PRODUCE,EDINBURG,TX,212007ZSB,vertexprod@aol.com,956-581-0088,956-519-0900
A & I TRUCKING,WATSONVILLE,CA.,21200N2EU,anitrucking@pacbell.net,831-763-7805,831-724-2010
A & J PRODUCE,BRONX,N.Y.,21200IEET,ajprodny@aol.com,800-223-8054,718-378-1095
A & L FARMS INC.,GRAND HAVEN,MI.,21200IZCD,info@aandlfarms.com,616-842-1987,616-842-8210
A & L POTATO COMPANY,EAST GRAND FORKS,MN.,212006WSI,randyb@aandlpotato.net,218-773-0123,218-773-1850
A & M MARKETING,ST. CHARLES,MO.,21200WTYH,a.elfarhan@a-mmmarketing.com,636-442-5618,516-941-0234
A & N FARMS,LEAMINGTON,ONTARIO,21200WDLJ,N/A,519-322-4822,519-322-1272
A & S PRODUCE INC,LOS ANGELES,CA.,21200EZP5,N/A,323-260-5100,323-260-5108
A & W PRODUCE,UPLAND,CA.,21200I1UV,N/A,909-981-2980,909-946-2849
A TRADING,BLAUVELT,N.Y.,21200BKZ5,atjrusso@aol.com,845-365-6921,845-365-6925
A.C. PRODUCE,INC.,WILLACOOCHEE,21200G6UB,trk9800@aol.com,912-534-5700,912-534-5479
A.D.P. DEPALMA FARMS,RIPON,CA.,21200J170,depalmafarms@thegrid.net,209-838-9719,209-838-7034
A.F. FRUIT & PRODUCE,INC.,NOGALES,2120072YU,afxfruit@hotmail.com,520-751-4302,520-281-9187
AG LOCISTICS,LLC. WEST SACRAMENTO,CA.,212008GJX,sales@jcproduce.com,916-617-4000,916-617-5999
A.G. LOGISTIC SOLUTIONS,SALINAS,CA.,21200BMI8,rbaglogisticsolutions@hotmail.com,831-753-2622,831-753-2600
A.I.M.,MANTECA,CA.,2120001NM,maggiem@lagorio.com,209-982-0670,209-982-4720
AJ'S PRODUCE,INC.,CASNOVIA,21200S4VQ,snappyapple@sbcglobal.net,616-675-7356,616-675-5240
A.T.B. PACKING CO.,TURLOCK,CA.,212001CJB,atbpacking@sbcglobal.net,209-634-4921,209-634-1647
A.T.S. (ADVANCE TRANSPORTATION SER.,YAKIMA,WA.,21200N1K6,jillatsyakima@qwest.net,509-453-3620,509-453-4503
A.T.S./ADVANCED TRANSPORTATION SER.,VISALIA,CA.,2120045CS,marshall@atsvisalia.com,559-627-0274,559-627-6056
A-1 PRODUCE SALES,EDGEWOOD,TX.,21200GBKR,smarble@etxrn.com,903-896-2555,903-896-2577
AAA PRODUCE EXCHANGE,INC.,,21200ITSL,aaaprod@aol.com,248-681-9020,248-681-9003
ABATTI,BEN FARMS,EL CENTRO,21200YF37,N/A,760-352-1380,760-353-4056
ABBATE FARMS,FRENCH CAMP,CA,21200VXLI,N/A,209-943-5247,209-465-6928
ABE-EL PRODUCE,OROSI,CA.,21200P5E6,duaneabe@hotmail.com,559-528-3030,559-528-6772
ABI IMPORTS/AMERICA,PITTSGROVE,NJ,212006ID6,alenb@aol.com,856-358-6618,856-358-6557
ABLE FREIGHT SERVICE,LOS ANGELES,CA.,21200NRVT,contactLAX@ablefreight.com,310-568-8883,310-568-8658
ABOVE ALL PRODUCE,MCALLEN,TX,21200WKWQ,aboveallproduce@aol.com,956-618-2110,956-618-2625
ABRAMOWITZ,PHIL CO.,BRONX,21200LAX6,N/A,718-378-4307,718-617-2725
ABRAMOWITZ,PHIL CO.,MANHASSET HILLS,212004NA2,N/A,516-681-1478,516-681-1478
ABROBRAS,CENTRO,PE.,21200AC7X,agrobras@uol.com.br,558738621460,558738621942
ACCESS ORGANIC,INC KALISPELL,MONTANA,21200GFE7,aosinfo@accessorganics.com,406-758-6620,406-758-6628
ACCURSIO,SAM S.,& SONS,21200JYGF,barbaralw@bellsouth.net,305-246-3455,305-242-8815
ACE APPLES CO.,MENTECA,CA.,21200PVFX,chris@lagorio.com,209-982-0670,209-082-0591
ACE TOMATO CO.,MANTECA,CA.,212002VD3,mail@lagorio.com,209-984-5691,209-982-0235
ACOSTA INTERNATIONAL,WILMINGTON,DE.,212003C3B,da_acosta@comcast.net,302-475-2355,302-475-2355
ACTION PRODUCE,INC.,CENTER,21200LVWJ,N/A,719-754-9195,719-754-0502
ADAM & ABRAHAM,INC.,DALLAS,212001NB6,ampearce111@hotmail.com,214-317-6028,214-594-5875
ADAM BROS. PROD.,SANTA MARIA,CA.,21200ZQB1,kevin@adambros.com,805-928-4550,805-922-4969
ADAPEX,CARTAGO,CR.,21200YZCD,adapex@racsa.co.cr,506-536-6264,506-536-6474
ADD MARKETING & CO.,RIO RICO,AZ.,21200E41Z,add_nogales@hotmail.com,520-377-7007,520-377-7117
ADOBE CREEK PACKING,KELSEYVILLE,CA.,21200JK2H,vernolla@aol.com,707-279-4204,707-279-0366
ADS/AMPCO DISTING.,RIVERHEAD,NY,21200YBQD,kschelin@andrewandsons.com,631-208-0943,631-369-5578
ADVANCED FARM TECHNOLOGY CO.,VINCENNES,IN.,21200D27M,marthasbest@marthasbest.com,877-727-2929,812-895-0323
ADVANCED MARKETING,LONDON,ENG.,21200ZCMW,N/A,441171858465,44171858453
AG GROWER SALES,LLC,EAST WENATCHEE,21200VPBD,info@aggrowersales.com,509-886-7016,509-884-0129
AG PACIFIC,LLC.,LOS ANGELES,21200JR5H,allen@agpacific@com,213-229-9300,213-229-9346
AG WAREHOUSE & PACKING,RALEIGH,NC,212008UMY,greg.cardamone@ag-wh.com,919-875-4040,919-875-4049
AG-MART PRODUCE.,PLANT CITY,FL.,21200KUTH,info@santasweets.com,813-752-1023,813-759-8372
AGRI PACKING,NOGALES,AZ.,212002WFE,ccorella@agripacking.net,520-761-3816,520-761-3812
AGRICAP FINANCIAL,LOS ANGELES,CA.,21200GCIM,info@agricap.com,213-687-8200,213-687-8333
AGRICOLA ROSALES,LA SERNA,CL,212002VKT,N/A,N/A,N/A
